Segment Revenue by Region - Global Corp,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
FY 2025 | USD Mio. | PY IST vs FC vs BUD,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Region,Q1 PY,Q1 FC,Q1 BUD,Q2 PY,Q2 FC,Q2 BUD,Q3 PY,Q3 FC,Q3 BUD,Q4 PY,Q4 FC,Q4 BUD,FY PY,FY FC,FY BUD
EMEA,42,45.4,46.2,48,51.8,52.8,44,47.5,48.4,52,56.2,57.2,,,
  Germany,15,16.2,16.5,17,18.4,18.7,16,17.3,17.6,18.5,20,20.4,,,
  UK,12,13,13.2,14,15.1,15.4,12.5,13.5,13.8,15,16.2,16.5,,,
  France,10,10.8,11,11.5,12.4,12.6,10.5,11.3,11.6,12.5,13.5,13.8,,,
  Other EMEA,5,5.4,5.5,5.5,5.9,6.1,5,5.4,5.4,6,6.5,6.5,,,
Americas,55,59.4,60.5,62,66.9,68.2,58,62.6,63.8,68,73.4,74.8,,,
  USA,45,48.6,49.5,51,55.1,56.1,48,51.8,52.8,56,60.5,61.6,,,
  Canada,6,6.5,6.6,7,7.6,7.7,6,6.5,6.6,7.5,8.1,8.3,,,
  LatAm,4,4.3,4.4,4,4.3,4.4,4,4.3,4.4,4.5,4.9,4.9,,,
APAC,33,35.6,36.3,38,41,41.8,35,37.8,38.5,42,45.4,46.2,,,
  China,18,19.4,19.8,21,22.7,23.1,19,20.5,20.9,23,24.8,25.3,,,
  Japan,8,8.6,8.8,9,9.7,9.9,8.5,9.2,9.4,10,10.8,11,,,
  Other APAC,7,7.6,7.7,8,8.6,8.8,7.5,8.1,8.2,9,9.7,9.9,,,
Total,,,,,,,,,,,,,,,
