Headcount Planning - Tech Company GmbH,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
FY 2025 | FTE | Monthly PY IST vs FC vs BUD,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Department,Dec PY IST,Jan FC,Jan BUD,Feb FC,Feb BUD,Mar FC,Mar BUD,Apr FC,Apr BUD,May FC,May BUD,Jun FC,Jun BUD,Jul FC,Jul BUD,Aug FC,Aug BUD,Sep FC,Sep BUD,Oct FC,Oct BUD,Nov FC,Nov BUD,Dec FC,Dec BUD
Engineering,85,87,88,89,90,91,92,93,94,95,96,97,98,88,90,92,94,96,98,100,102,104,106,108,110
Product,28,28,29,29,29,30,30,30,31,31,31,32,32,29,30,30,31,31,32,32,33,33,34,34,35
Design,15,15,15,16,16,16,17,17,17,18,18,18,19,16,16,17,17,18,18,19,19,20,20,21,21
Sales,42,43,44,44,45,45,46,47,47,48,49,49,50,44,45,46,47,48,49,50,51,52,53,54,55
Marketing,18,18,19,19,19,20,20,20,21,21,21,22,22,19,19,20,20,21,21,22,22,23,23,24,24
Customer Success,25,26,26,27,27,28,28,29,29,30,30,31,31,27,27,28,28,29,29,30,30,31,31,32,32
Finance,12,12,12,12,13,13,13,13,14,14,14,14,15,12,13,13,13,14,14,14,15,15,15,16,16
HR,8,8,8,9,9,9,9,10,10,10,10,11,11,9,9,9,10,10,10,11,11,11,12,12,12
Legal,5,5,5,5,5,6,6,6,6,6,6,7,7,5,6,6,6,6,6,7,7,7,7,7,8
IT/Ops,12,12,13,13,13,13,14,14,14,14,15,15,15,13,13,14,14,14,15,15,15,16,16,16,17
Total,,,,,,,,,,,,,,,,,,,,,,,,,
